English,Gloss_Translation
I like brown sugar on my sweet potato.,SWEET POTATO NMF:ME LIKE BROWN SUGAR PUT-ON
"My favorite movie is ""Groundhog Day.""",FAVOURITE FILM WHAT FS:GROUNDHOG FS:DAY
"I didn’t like the pink socks I got, so I regifted them to my brother.","PINK SOCK NMF:ME GET LIKE NOT, BROTHER NMF:ME GIVE-AWAY"
Which Girl Scout cookie is your favorite?,GIRL SCOUT COOKIE WHICH YOUR FAVORITE
Hot cocoa is my favorite bedtime treat.,HOT CHOCOLATE ME LOVE NIGHT-TIME DRINK
"My favorite science fiction movie is ""Star Wars.""","FAVORITE SCIENCE FICTION FILM MINE ""STAR WARS"""
I like to cuddle up with my cat.,ME LIKE CUDDLE-UP WITH MY CAT
I like books.,NMF:ME BOOK LIKE
I love books.,NMF:ME BOOKS LOVE
I dislike books.,BOOK NMF:ME DISLIKE
I hate books.,NMF:ME BOOKS HATE
Do you like books?,YOU LIKE BOOK WHAT
I like trees.,TREE NMF:ME LIKE
I love trees.,NMF:ME LOVE TREE
I dislike trees.,NMF:ME TREES DISLIKE
I hate trees.,NMF:ME TREES HATE
Do you like trees?,TREE YOU LIKE WHAT
I like ice cream.,NMF:ME LIKE ICE-CREAM
I love ice cream.,ICE CREAM NMF:ME LOVE
I dislike ice cream.,NMF:ME ICE-CREAM DISLIKE
I hate ice cream.,ICE CREAM NMF:ME DISLIKE
Do you like ice cream?,YOU LIKE ICE-CREAM WHAT
Jim loves Jen.,FS:JIM LOVE FS:JEN
Jen hates Jim.,FS:JEN HATE FS:JIM
I like telephones.,NMF:ME LIKE TELEPHONE
I love telephones.,NMF:ME TELEPHONE LOVE
I dislike telephones.,TELEPHONE NMF:ME DISLIKE
I hate telephones.,NMF:ME TELEPHONE HATE
Do you like telephones?,YOU LIKE PHONE POINT-TO WHAT
I love my telephone.,NMF:ME TELEPHONE LOVE
I like to drink.,NMF:ME LIKE DRINK
I love to drink.,NMF:ME DRINK ENJOY
I don't like to drink.,NMF:ME DRINK LIKE NOT
I hate to drink.,NMF:ME DRINK HATE
Do you like to drink?,YOU DRINK LIKE WHAT
I like to eat.,ME EAT LIKE
I love to eat.,NMF:ME EAT LOVE
I don't like to eat.,NMF:ME EAT LIKE NOT
I hate to eat.,NMF:ME EAT HATE
Do you like to eat?,YOU EAT LIKE WHAT
I like airplanes.,NMF:ME LIKE AIRPLANE
I don't like airplanes.,NMF:ME AIRPLANE LIKE NOT
I hate airplanes.,NMF:ME AIRPLANE HATE
Do you like airplanes?,AIRPLANE YOU LIKE WHAT
Jim hates airplanes.,JIM AIRPLANE HATE
I like cars.,NMF:ME CARS LIKE
I love cars.,NMF:ME CARS LOVE
I hate cars.,NMF:ME CARS HATE
Do you like cars?,YOU LIKE CAR WHAT?
I like motorcycles.,NMF:ME LIKE MOTORCYCLE
I love motorcycles.,MOTORCYCLE NMF:ME LOVE
I don't like motorcycles.,NMF:ME MOTORCYCLE LIKE NOT
I hate motorcycles.,NMF:ME MOTORCYCLE HATE
Do you like motorcycles?,YOU LIKE MOTORCYCLE WHAT
Joe loves motorcycles.,JOE MOTORCYCLE LOVE
"Yes, I love motorcycles and airplanes.",NMF:ME LOVE MOTORCYCLES ALSO AIRPLANES
I like bicycles.,NMF:ME LIKE BICYCLE
I love bicycles.,NMF:ME BICYCLE LOVE
I don't like bicycles.,NMF:ME BICYCLE LIKE NOT
I hate bicycles.,NMF:ME BICYCLE HATE
Do you like bicycles?,YOU BICYCLE LIKE WHAT
I like to walk.,ME WALK LIKE
I love to walk.,NMF:ME WALK LOVE
I don't like to walk.,NMF:ME WALK LIKE NOT
I hate to walk.,NMF:ME WALK HATE
Do you like to walk?,YOU WALK LIKE WHAT
I like babies.,NMF:ME LIKE BABY
I love babies.,BABIES NMF:ME LOVE
I don't like babies.,NMF:ME LIKE BABY NMF:NOT
I hate babies.,NMF:ME BABIES DISLIKE
Do you like babies?,YOU LIKE BABIES QUESTION
Tom loves babies.,TOM LOVE BABIES
I love my baby.,ME LOVE MY BABY
I like balls.,NMF:ME LIKE BALL
I love balls.,NMF:ME LOVE BALL
I don't like balls.,NMF:ME LIKE BALL NOT
I hate balls.,NMF:ME BALLS HATE
Do you like balls?,YOU LIKE BALL WHAT
I like milk.,NMF:ME LIKE MILK
I love milk.,NMF:ME LOVE MILK
I don't like milk.,NMF:ME MILK LIKE NOT
I hate milk.,NMF:ME MILK HATE
Do you like milk?,YOU LIKE MILK WHAT
Mia hates milk.,MIA MILK HATE
I like pencils.,NMF:ME PENCIL LIKE
I love pencils.,NMF:ME PENCIL LOVE
I don't like pencils.,NMF:ME PENCIL LIKE NOT
I hate pencils.,NMF:ME PENCIL HATE
Do you like pencils?,YOU LIKE PENCIL WHAT
I like to write.,NMF:ME WRITE ENJOY
I love to write.,NMF:ME LOVE WRITE
I don't like to write.,NMF:ME WRITE LIKE NOT
I hate to write.,NMF:ME WRITE HATE
Do you like to write?,YOU LIKE WRITE WHAT
Tom loves writing.,TOM WRITING LOVE
I love to write books.,ME LOVE WRITE BOOK
Do you write books?,YOU WRITE BOOK QUESTION-MARK
I like typing.,NMF:ME TYPING LIKE
I love typing.,ME LOVE TYPE
I don't like typing.,NMF:ME TYPING LIKE NOT
I hate typing.,NMF:ME TYPING HATE
Do you like typing?,YOU LIKE TYPE WHAT
I like playing the piano.,PIANO ME LIKE PLAY
I love playing the piano.,NMF:ME PIANO PLAY LOVE
I don't like playing the piano.,PIANO PLAY NMF:ME LIKE NOT
I hate playing the piano.,PIANO PLAY NMF:ME HATE
Do you love playing the piano?,YOU PIANO PLAY LOVE?
I love my Yamaha piano.,NMF:ME LOVE YAMAHA PIANO
Sam hates me.,FS:SAM HATE ME
I love Bob.,NMF:ME LOVE FS:BOB
Do you love me?,YOU LOVE ME QUESTION-MARK
Dan loves me.,DAN LOVE ME
Kim hates me.,FS:KIM ME HATE
I love my bicycle.,NMF:ME BICYCLE LOVE
I hate my car.,NMF:ME CAR HATE
You and me like ice cream.,YOU ME BOTH LIKE ICE-CREAM
I like you.,NMF:ME LIKE YOU
"Yes, I like books.",NMF:ME LIKE BOOKS
"No, I don't like motorcycles.",MOTORCYCLE NMF:ME LIKE NOT
My grandmother Annie likes apples.,MY GRANDMOTHER FS:ANNIE LIKE APPLE
My sister Beth likes popcorn.,MY SISTER FS:BETH SN:BETH POPCORN LIKE
My aunt Lisa doesn't like tea.,MY AUNT FS:LISA TEA LIKE NOT
Which do you like apples or oranges?,YOU PREFER WHICH APPLE NMF:OR ORANGE
Which do you like cookies or pie?,YOU PREFER WHICH COOKIES NMF:OR PIE
Which do you like chicken or fish?,YOU PREFER WHICH CHICKEN NMF:OR FISH
I hate to type.,NMF:ME TYPE HATE
I dislike airplanes.,NMF:ME AIRPLANE DISLIKE
My mother's favorite class is algebra.,MOTHER POSS-MY FAVORITE CLASS ALGEBRA
My favorite drink is apple juice.,DRINK FAVORITE MY WHAT APPLE JUICE
Are you prepared for hurricane season?,HURRICANE SEASON YOU READY HOW?
"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?",YOU HAVE-A-LOOK MOVIE ABOUT KITTY O'NEIL LIFE? SHE DEAF STUNTWOMAN RACER
Do you like to watch baseball?,YOU LIKE WATCH BASEBALL WHAT
Can you hear all the birds singing?,BIRDS SING YOU NOTICE
Do you like Arby’s or Wendy’s french fries better?,YOU PREFER WHICH FRENCH FRIES ARBY'S NMF:OR WENDY'S
Do you like chocolate ice cream?,YOU LIKE CHOCOLATE ICE-CREAM LIKE-WHAT
What kind of computer do you prefer? A Mac or a PC?,COMPUTER YOU PREFER WHICH MAC NMF:OR PC
What are you doing tomorrow night?,TOMORROW NIGHT YOU DO WHAT?
Do you want to put sugar in your coffee?,YOU COFFEE WANT SUGAR ADD QUESTION-MARK
Would you like a cup of tea?,TEA CUP YOU WANT
Do you want to walk to the store to buy ice cream?,YOU WANT WALK SHOP ICE-CREAM BUY
Can you order me a cheeseburger?,YOU WANT CHEESEBURGER ME ORDER FOR-YOU
What color is your new car?,YOUR NEW CAR COLOUR WHAT?
Can you meet me for lunch?,LUNCH YOU ME MEET POSSIBLE
Will you turn up the radio please?,RADIO VOLUME-UP YOU PLEASE
Can you write a poem that rhymes?,POEM RHYME YOU WRITE POSSIBLE?
Would you like a straw in your drink?,DRINK YOU WANT STRAW QUESTION
Where are you going for Thanksgiving dinner?,THANKSGIVING DINNER YOU GO WHERE
Would you like a slice of tomato on your sandwich?,SANDWICH YOU WANT TOMATO SLICE ADD QUESTION
Who wrote the Constitution?,CONSTITUTION WRITE WHO
Do you know any good jokes?,YOU KNOW FUNNY JOKE ANY?
I'm sorry I didn't catch what you said. Can you please repeat yourself?,SORRY NMF:ME MISS YOU SAY WHAT. PLEASE REPEAT
Do you want to build a snowman?,YOU WANT BUILD SNOWMAN QUESTION-MARK
Do you have a 20 dollar bill?,YOU HAVE TWENTY DOLLAR BILL QUESTION-MARK
Do you know our national anthem?,YOU KNOW OUR COUNTRY ANTHEM
What tool do I need to fix the bike seat?,BIKE SEAT FIX TOOL WHAT NMF:ME NEED
What kind of soft drink would you like - Coke or Pepsi?,SOFT DRINK YOU WANT WHICH NMF:QUESTION COKE NMF:OR PEPSI
Are you going to the Veteran's Day parade?,VETERAN DAY PARADE YOU GO QUESTION
Are you going to a party on New Year's Eve?,NEW-YEAR'S-EVE PARTY YOU GO WILL QUESTION
Is your school closed for Martin Luther King Jr. Day?,YOUR SCHOOL CLOSED FOR FS:MARTIN-LUTHER-KING-JR DAY QUESTION
Which Girl Scout cookie is your favorite?,GIRL SCOUT COOKIE WHICH YOUR FAVORITE
Can I offer you a refreshment?,NMF:ME OFFER YOU DRINK WANT?
Do you use google.com?,YOU USE GOOGLE WEBSITE QUESTION-MARK
Do you want to join our bowling league?,YOU WANT JOIN-US BOWLING GROUP
Do you like books?,YOU LIKE BOOK WHAT
Do you like trees?,TREE YOU LIKE WHAT
Do you like ice cream?,YOU LIKE ICE-CREAM WHAT
Do you like telephones?,YOU LIKE PHONE WHAT
Do you like to drink?,YOU DRINK LIKE WHAT
Do you like to eat?,YOU EAT LIKE WHAT
Do you like airplanes?,AIRPLANE YOU LIKE WHAT
Do you like cars?,YOU LIKE CAR WHAT?
Do you like motorcycles?,YOU LIKE MOTORCYCLE WHAT
Do you like bicycles?,YOU BICYCLE LIKE WHAT
Do you bike?,YOU BIKE RIDE QUESTION-MARK
Do you like to walk?,YOU WALK LIKE WHAT
Do you like babies?,YOU LIKE BABIES QUESTION
Do you like balls?,YOU LIKE BALL WHAT
Do you like milk?,YOU LIKE MILK WHAT
Do you drink milk?,YOU DRINK MILK QUESTION-MARK
Do you like pencils?,YOU LIKE PENCIL WHAT
Do you like to write?,YOU LIKE WRITE WHAT
Do you write books?,YOU WRITE BOOK QUESTION-MARK
Do you like typing?,YOU LIKE TYPE WHAT
Can you type?,YOU TYPING SKILL HAVE?
Do you love playing the piano?,YOU PIANO PLAY LOVE?
Are you deaf?,YOU DEAF YOU?
Are you hearing or deaf?,YOU HEARING NMF:OR DEAF
Are you hearing?,YOU HEARING?
Are you hard of hearing?,YOU DEAF YOU
Do you love me?,YOU LOVE ME QUESTION-MARK
Is your name Tina?,YOUR NAME FS:TINA QUESTION-MARK
I encourage my students to attend college.,NMF:ME ENCOURAGE MY STUDENTS ATTEND UNIVERSITY
I like to learn about a building's history.,ME LIKE LEARN BUILDING HISTORY
I go to the library about 3 days a week.,NMF:ME LIBRARY GO THREE DAY WEEK
Don't forget to put your name on the paper.,PAPER YOUR NAME PUT-ON-PAPER REMEMBER
The school nurse is always busy.,SCHOOL NURSE ALWAYS BUSY
Please write in complete sentences.,PLEASE WRITE FULL SENTENCE
I got good books from the library.,NMF:ME LIBRARY BOOK GOOD GET
Please give the book to the librarian.,BOOK YOU GIVE LIBRARIAN PLEASE
My son is going to law school at the University of Michigan.,SON MY LAW SCHOOL GO-TO UNIVERSITY FS:MICHIGAN
My favorite class is science.,MY FAVOURITE SUBJECT SCIENCE
Our teacher requires me to be early to class.,TEACHER EXPECT ME CLASS ARRIVE EARLY
"Andrew Foster was a famous Deaf African American who was a reverend, educator, and missionary. He established the first school for the deaf in Africa.","ANDREW FOSTER WHO FAMOUS DEAF AFRICAN AMERICAN REVEREND EDUCATOR MISSIONARY ALSO. ['POINT-RIGHT HE', 'NMF:PERSON MAN'] ESTABLISH FIRST DEAF SCHOOL WHERE AFRICA."
There is no gum chewing in class.,CLASS GUM CHEW FORBIDDEN
I am more productive when my desk is clean.,"NMF:ME DESK CLEAN, WORK BETTER"
Everyone should own a good dictionary.,EVERYONE SHOULD DICTIONARY GOOD OWN
I have a Bachelor's degree in physics.,NMF:ME HAVE PHYSICS DEGREE FS:BACHELOR
Five plus five equals ten.,FIVE ADD FIVE TOTAL TEN
"To be successful, it helps to have good grammar.",SUCCESS ACHIEVE HELP WHAT GRAMMAR GOOD
The teacher has a loud voice.,TEACHER VOICE LOUD
I made a huge mistake!,NMF:ME MISTAKE BIG DONE
Can you write a poem that rhymes?,POEM RHYME YOU WRITE POSSIBLE?
I want to ask you another question.,NMF:ME WANT ASK YOU QUESTION ANOTHER
Don't forget to bring a pencil to class tomorrow.,TOMORROW CLASS PENCIL BRING REMEMBER
My least favorite class in school is geography.,SCHOOL ME CLASS GEOGRAPHY WORST LIKE
My goal is to finish my homework before class.,MY GOAL HOMEWORK FINISH BEFORE CLASS
It is your right to a free and appropriate education.,YOUR RIGHT FREE APPROPRIATE EDUCATION RECEIVE-YOU
Your answer is right.,POINT-RIGHT ANSWER CORRECT
Chemistry is my favorite class in school.,SCHOOL CLASS LIST CHEMISTRY MY FAVOURITE
My library has ASL story time every month.,MY LIBRARY HAVE FS:ASL STORY TIME EVERY MONTH
The list of school supplies included a box of crayons.,SCHOOL SUPPLIES LIST INCLUDE BOX CRAYONS
You are learning sign language.,YOU LEARN SIGNING
Do you know our national anthem?,YOU KNOW OUR COUNTRY ANTHEM
My mom teaches kindergarten.,MOM TEACH KINDERGARTEN
We learn about Abraham Lincoln today in history class.,TODAY HISTORY CLASS WE LEARN ABOUT ABRAHAM LINCOLN
Roy Holcomb was a deaf teacher who coined the term total communication.,ROY HOLCOMB DEAF TEACHER. HE INVENT TERM MEAN WHAT TOTAL COMMUNICATION.
I’m afraid to go to the library because the librarian is a grouch.,LIBRARY NMF:ME AFRAID GO WHY LIBRARIAN GRUMPY
"Alexander Graham Bell was a famous inventor who was involved in deaf education, but ironically he did not support the use of American Sign Language.",ALEXANDER GRAHAM BELL FAMOUS INVENTOR INVOLVED DEAF EDUCATION BUT IRONY POINT-RIGHT HE NMF:PERSON MAN AGAINST AMERICAN SIGNING
I went to school.,SCHOOL NMF:ME GO BEEN
I write everyday.,ME WRITE EVERYDAY
I like books.,NMF:ME BOOK LIKE
I love books.,NMF:ME BOOKS LOVE
I dislike books.,BOOK NMF:ME DISLIKE
I hate books.,NMF:ME BOOKS HATE
Do you like books?,YOU LIKE BOOK WHAT
I like pencils.,NMF:ME PENCIL LIKE
I love pencils.,NMF:ME PENCIL LOVE
I don't like pencils.,NMF:ME PENCIL LIKE NOT
I hate pencils.,NMF:ME PENCIL HATE
Do you like pencils?,YOU LIKE PENCIL WHAT
I like to write.,NMF:ME WRITE ENJOY
I love to write.,NMF:ME LOVE WRITE
I don't like to write.,NMF:ME WRITE LIKE NOT
I hate to write.,NMF:ME WRITE HATE
Do you like to write?,YOU LIKE WRITE WHAT
Tom loves writing.,TOM WRITING LOVE
I love to write books.,ME LOVE WRITE BOOK
Do you write books?,YOU WRITE BOOK QUESTION-MARK
I like typing.,NMF:ME TYPING LIKE
I love typing.,ME LOVE TYPE
I don't like typing.,NMF:ME TYPING LIKE NOT
I hate typing.,NMF:ME TYPING HATE
Do you like typing?,YOU LIKE TYPE WHAT
Can you type?,YOU TYPING SKILL HAVE?
I like playing the piano.,PIANO ME LIKE PLAY
I love playing the piano.,NMF:ME PIANO PLAY LOVE
I don't like playing the piano.,PIANO PLAY NMF:ME LIKE NOT
I hate playing the piano.,PIANO PLAY NMF:ME HATE
Do you love playing the piano?,YOU PIANO PLAY LOVE?
I love my Yamaha piano.,NMF:ME LOVE YAMAHA PIANO
"Yes, I like books.",NMF:ME LIKE BOOKS
My class always starts on time.,CLASS MY ALWAYS START TIME EXACT
Rebecca's major is English.,REBECCA MAJOR ENGLISH
My father's favorite class is math.,FATHER POSS-MY FAVORITE CLASS MATH
My mother's favorite class is algebra.,MOTHER POSS-MY FAVORITE CLASS ALGEBRA
My grandfather's favorite class is geometry.,GRANDFATHER FAVORITE CLASS GEOMETRY
My grandmother's favorite class is science.,GRANDMOTHER POSS-MY FAVORITE CLASS SCIENCE
My uncle's favorite class is biology.,UNCLE POSS-MY FAVORITE CLASS BIOLOGY
My aunt's favorite class is chemistry.,AUNT POSS-MY FAVOURITE CLASS CHEMISTRY
My nephew's favorite class is theater.,NEPHEW POSS-MY FAVORITE CLASS WHAT THEATRE
My niece's favorite class is English.,MY NIECE FAVOURITE CLASS ENGLISH
My (male) cousin's favorite class is history.,MY MALE COUSIN FAVORITE CLASS HISTORY
My husband's favorite class is nursing.,MY HUSBAND FAVORITE CLASS NURSING
My wife's favorite class is medicine.,WIFE FAVORITE CLASS MEDICINE
My son's favorite class is music.,SON FAVORITE CLASS MUSIC
My daughter's favorite class is law.,DAUGHTER FAVORITE CLASS LAW
My brother's favorite class is psychology.,BROTHER POSS-my FAVORITE CLASS PSYCHOLOGY
My sister's favorite class is social work.,SISTER POSS-my FAVORITE CLASS SOCIAL WORK
My boyfriend's favorite class is education.,MY BOYFRIEND FAVORITE CLASS EDUCATION
My girlfriend's favorite class is art.,MY GIRLFRIEND FAVORITE CLASS ART
My friend's favorite class is business.,FRIEND POSS-MINE FAVOURITE CLASS BUSINESS
My good friend's favorite class is interpreting.,FRIEND MY FAVORITE CLASS INTERPRETING
My best friend's favorite class is religion.,MY BEST FRIEND FAVORITE CLASS RELIGION
My teacher's favorite class is engineering.,TEACHER FAVORITE CLASS ENGINEERING
My favorite class is plumbing.,CLASS FAVORITE MY PLUMBING
Your favorite class is auto mechanics.,YOUR FAVORITE CLASS AUTO MECHANICS
My (male) cousin's favorite class is hair styling.,MY MALE COUSIN FAVORITE CLASS HAIR STYLING
My teacher's favorite class is engineering.,TEACHER FAVORITE CLASS ENGINEERING
Welcome to the first day of class!,CLASS FIRST DAY WELCOME
I bought a new hat.,NMF:ME BUY NEW HAT FINISH
I wanted to buy a ticket for the game but they had none left.,NMF:ME WANT BUY TICKET GAME BUT SOLD-OUT FINISH
I just bought a new shirt.,NMF:ME NEW SHIRT BUY FINISH
Thank you for the nice gift.,THANK-YOU GIFT NICE
I need to buy new comfortable shoes before I go to Disney World.,DISNEY WORLD NMF:ME GO BEFORE NEW COMFORTABLE SHOES BUY MUST
I need to buy a new car soon.,NMF:ME SOON NEW CAR BUY MUST
Do you want to walk to the store to buy ice cream?,YOU WANT WALK SHOP ICE-CREAM BUY
I save money at the grocery store by using coupons.,GROCERY STORE ME SAVE MONEY HOW COUPONS USE
I just bought a blueberry candle.,NMF:ME JUST BUY CANDLE SMELL BLUEBERRY
What color is your new car?,YOUR NEW CAR COLOUR WHAT?
I need to measure the room before I buy carpet.,ROOM NMF:ME MEASURE FIRST CARPET BUY AFTER
I bought my kids new pajamas for Christmas.,CHRISTMAS ME BUY NEW PAJAMAS FOR-WHO MY CHILDREN
I buy colorful paper clips.,NMF:ME BUY PAPER-CLIP COLORFUL
I just bought a new plaid shirt.,NMF:ME JUST BUY NEW SHIRT PATTERN-PLAID
I need black thread to sew my dress.,NMF:ME DRESS SEW BLACK THREAD NEED
I need batteries for my new toy.,NMF:ME NEW TOY BATTERIES NEED
I'm excited I bought a new bike.,NMF:ME EXCITED NEW BIKE BUY FINISH
I need to go to the post office and buy more stamps.,NMF:ME POST OFFICE GO MUST STAMPS BUY MORE
I can't believe how expensive my telephone was!,TELEPHONE NMF:ME BUY PRICE SHOCK
My grandmother bought me new underwear for Christmas.,CHRISTMAS GRANDMOTHER ME NEW UNDERWEAR BUY
I hate shopping on Black Friday.,BLACK FRIDAY SHOPPING ME NMF:HATE
I enjoy shopping on Cyber Monday.,CYBER MONDAY ME ENJOY SHOPPING
I bought a new bikini for spring break.,NMF:ME BUY NEW BIKINI FOR-FOR SPRING BREAK
I like to ice skate on our pond.,NMF:ME LIKE ICE-SKATE OUR POND
I like to be active and not sit and watch TV all day.,ME PREFER ACTIVE NOT SIT WATCH TV ALL-DAY
"Did you see the movie about the life of Kitty O’Neil, a deaf stuntwoman and racer?",YOU HAVE-A-LOOK MOVIE ABOUT KITTY O'NEIL LIFE? SHE DEAF STUNTWOMAN RACER
Do you like to watch baseball?,YOU LIKE WATCH BASEBALL WHAT
My brother is thin because he exercises everyday.,MY BROTHER THIN WHY EVERYDAY EXERCISE
I like to watch college football games.,NMF:ME LIKE WATCH COLLEGE FOOTBALL GAMES
William “Dummy” Hoy was a Deaf Major League Baseball player and some say he helped establish the baseball signals for safe and out calls.,"WILLIAM ""DUMMY"" HOY NMF:PERSON DEAF MAJOR LEAGUE BASEBALL PLAYER POINT-RIGHT HE HELP ESTABLISH BASEBALL SIGNALS SAFE OUT CALL SOME SAY"
I wanted to buy a ticket for the game but they had none left.,NMF:ME WANT BUY TICKET GAME BUT SOLD-OUT FINISH
Kenny Walker is deaf and played football in the NFL for the Denver Broncos.,KENNY WALKER DEAF PERSON ALSO FOOTBALL PLAYER NFL DENVER BRONCOS
I roller skated a lot when I was young.,NMF:ME YOUNG TIME ROLLER-SKATE++ OFTEN
